Country,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Latitude,Longitude
North Macedonia,5.534749985,9.71719265,0.808856964,66.5,0.79296577,41.608635,21.745275
Norway,7.361573696,11.09462643,0.947877407,71.5,0.936379194,60.47202399999999,8.468945999999999
Pakistan,4.486834526,8.440561295,0.608395636,57.45000076,0.763992071,30.375321,69.34511599999999
Panama,6.552778721,10.22175407,0.898621261,68.90000153,0.810681999,8.537981,-80.782127
Paraguay,5.575535297,9.454678535,0.907541871,65.90000153,0.887960792,-23.442503,-58.443832
Peru,5.694317818,9.44045639,0.818539441,69.84999847,0.811777532,-9.189967,-75.015152
Philippines,5.96505785,9.020073891,0.778192103,62.04999924,0.905275464,12.879721,121.774017
Poland,5.978068829,10.43639851,0.935534835,69.05000305,0.731805563,51.919438,19.145136
Portugal,6.183014393,10.41631794,0.894941688,71.25,0.892121136,39.39987199999999,-8.224454
Romania,6.548725605,10.33434677,0.834509134,67.05000305,0.870957971,45.943161,24.96676
Russia,5.448261261,10.22768974,0.861716568,64.94999695,0.670810163,61.52401,105.318756
Saudi Arabia,6.44529438,10.70742989,0.859361112,64.40000153,0.902473032,23.885942,45.079162
Senegal,4.902830601,8.127270699,0.645179272,60.0,0.758525133,14.497401,-14.452362
Serbia,6.245267391,9.874162674,0.890106082,67.15000153,0.850367904,44.016521,21.005859
Sierra Leone,3.714294434,7.421621799,0.609334111,54.5,0.659139514,8.460555,-11.779889
Slovakia,6.418503761,10.35686398,0.951163888,68.94999695,0.74153322,48.669026,19.699024
Slovenia,6.761220932,10.57335091,0.955252588,71.05000305,0.851086736,46.151241,14.995463
South Africa,5.598653793,9.48507309,0.922238767,57.25,0.703564703,-30.559482,22.937506
South Korea,6.112745285,10.69212723,0.810740769,73.65000153,0.717086375,35.907757,127.766922
Spain,6.469611168,10.53658772,0.926416755,72.34999847,0.781794965,40.46366700000001,-3.74922
Sri Lanka,4.10344696,9.463738441,0.812373936,67.19999695,0.771430016,7.873053999999999,80.77179699999999
Sweden,7.439280033,10.8734293,0.931819558,72.15000153,0.953379214,60.12816100000001,18.643501
Switzerland,7.327672482,11.16012573,0.934393048,72.90000153,0.907875359,46.818188,8.227511999999999
Tanzania,3.68056798,7.889876366,0.618984401,59.40000153,0.821772814,-6.369028,34.888822
Thailand,5.638096809,9.765044212,0.882821918,68.44999695,0.835590303,15.870032,100.992541
Togo,4.036543846,7.679789543,0.603399694,57.20000076,0.618520677,8.619543,0.824782
Tunisia,4.49948597,9.254252434,0.711321533,67.0,0.591229916,33.886917,9.537499
Turkey,4.366639614,10.3303709,0.736194909,68.75,0.44652763,38.963745,35.243322
Uganda,4.224533558,7.685560226,0.793349564,59.15000153,0.710621119,1.373333,32.290275
Ukraine,5.311355114,9.462496758,0.879308522,64.55000305,0.769904315,48.379433,31.16558
United Arab Emirates,6.733067513,11.07025528,0.826060593,66.30000305,0.95132792,23.424076,53.847818
United Kingdom,6.866961956,10.71970272,0.854029596,70.30000305,0.815077186,55.378051,-3.435973
United States,6.959087849,11.05517292,0.920008719,65.84999847,0.815734804,37.09024,-95.712891
Uruguay,6.501700401,10.01091671,0.913873136,67.5,0.8987239,-32.522779,-55.765835
Uzbekistan,6.18530798,8.941695213,0.895503759,65.30000305,0.927415252,41.377491,64.585262
Vietnam,5.540249825,9.028701782,0.799493909,65.5,0.896800399,14.058324,108.277199
Zambia,3.082154989,8.087629318,0.619071007,55.25,0.832573771,-13.133897,27.849332
Zimbabwe,3.154578209,8.153247833,0.685150504,54.04999924,0.667636156,-19.015438,29.154857
